gene
ADGRG1
AIF1
ANXA2
ANXA5
CAMK4
CCL5
CD74
CD8A
COTL1
CST7
CTSW
FGFBP2
GNLY
GZMA
GZMB
GZMH
HLA-DQA1
HLA-DRA
HOPX
KLRB1
KLRD1
KLRK1
LINC02446
LTB
MATK
NELL2
NKG7
PRF1
S100A10
S100A11
TBX21
